NAME                                               CPU(cores)   MEMORY(bytes)   
owdev-alarmprovider-687f79859b-thtgd               0m           24Mi            
owdev-apigateway-56b8cc9dbf-dx748                  1m           46Mi            
owdev-controller-0                                 109m         247Mi           
owdev-couchdb-59f57cbff7-gzb6b                     18m          329Mi           
owdev-grafana-6944d474d8-dggts                     2m           37Mi            
owdev-invoker-0                                    93m          370Mi           
owdev-kafka-0                                      29m          1176Mi          
owdev-kafkaprovider-5574d4bf5f-xx9m7               1m           34Mi            
owdev-nginx-74fdfbf868-9rxhk                       0m           10Mi            
owdev-prometheus-server-0                          3m           44Mi            
owdev-redis-68bfb4ccb8-n792p                       2m           2Mi             
owdev-user-events-f7b744449-sk2mw                  97m          165Mi           
owdev-wskadmin                                     1m           1Mi             
owdev-zookeeper-0                                  5m           94Mi            
wskowdev-invoker-00-800-prewarm-nodejs10           0m           14Mi            
wskowdev-invoker-00-801-prewarm-nodejs10           0m           13Mi            
wskowdev-invoker-00-896-guest-reducerfunction      0m           20Mi            
wskowdev-invoker-00-897-guest-reducerfunction      0m           20Mi            
wskowdev-invoker-00-898-guest-aggregatorfunction   1m           20Mi            
